adresse;codinsee;infoloc;acceshandi;payant;hommes;femmes;unisexe;enfants;web;openinghoursspecification;provenance;gid;lon;lat
 Rue De L’égalité;69204;Au croisement de la rue du Frère Benoît;True;True;;;;;;;ville de Saint-Genis-Laval, Métropole de Lyon, Open Street Map;121;4,788066500000913;45,70047019999715
2 Allée Marcellin Champagnat;69204;;;;;;;;;;Open Street Map;124;4,781954600000974;45,679336799997145
9 Rue Des Mourrons;69205;Intérieur du cimetière;;;;;;;;;Métropole de Lyon, Open Street Map;127;4,7373096000014385;45,75701139999716
Place De La Mairie;69205;;;;;;;;;;Métropole de Lyon, Open Street Map;128;4,725475000001563;45,75641959999715
Rue De L'eglise;69205;Place de l'église - à droite de l'église;;;;;;;;;Métropole de Lyon;129;4,726183881508117;45,75475927747848
Place Ampère;69207;;;;;;;;;;Métropole de Lyon;130;4,805082517508751;45,87854911244781
Rue De La Charriere;69233;Vers n°4;True;True;;;;;;;Métropole de Lyon, Open Street Map;131;4,822877000000558;45,83748899999715
Rue De La Republique;69233;Angle rue du lavoir;;;;;;;;;Métropole de Lyon;132;4,825112554931983;45,83780067022769
1 Rue de Belgique;69244;;;True;;;True;;;;Open Street Map;133;4,76632420000114;45,763003899997145
11 Chemin De La Vernique;69244;;;;;;;;;;Métropole de Lyon;134;4,784229824158622;45,765375747211344
11 Montée de Verdun;69244;;;;;;;;;;Open Street Map;135;4,782513200000974;45,76340309999715
12 Promenade des Tuileries;69244;;True;True;;;True;;;;Open Street Map;136;4,778559200001014;45,762421099997155
17 Avenue Général Leclerc;69244;;True;;;;;;;;Open Street Map;137;4,776078700001039;45,76084739999716
81 Rue Docteur Guy Laurent;69244;;;;;;;;;;Open Street Map;138;4,759935400001206;45,76102409999715
12 Rue De L'eglise;69250;;True;True;;;;;;;Métropole de Lyon, Open Street Map;140;4,7150860000016745;45,81349329999714
28 Avenue du Casino;69250;;;True;True;True;;;;;Open Street Map;141;4,71975915022538;45,80460709999571
Place De La Mairie;69250;;True;True;;;;;;;Métropole de Lyon, Open Street Map;142;4,71553790000167;45,81418089999714
10 Rue des Droits de l'Homme;69256;;;True;;;True;;;;Open Street Map;143;4,927367799999475;45,76682829999716
5  Rue Des Frères Bertrand;69256;local placiers;;True;;;;;;"[{'opens': '07:00', 'closes': '12:00', 'dayOfWeek': ['http://schema.org/Wednesday', 'http://schema.org/Saturday']}]";ville de Vaulx-en-Velin, Métropole de Lyon, Open Street Map;144;4,9123357999996315;45,78499489999716
6 Avenue de Böhlen;69256;;;;;;;;;;Open Street Map;145;4,92309329999952;45,76465959999716
Allée du Fontanil;69256;;;;;;;;;;Open Street Map;147;4,9485156999992554;45,795594899997155
