longitude,latitude,Nom de l'installation,prompt
45.66926373,4.97919548888,BNP PARIBAS REAL ESTATE,seveso
43.6033351482,1.02249720884,AGRO D'OC,seveso
49.4842432024,0.278571535488,TOTAL FLUIDES,seveso
46.5792112805,5.43896094542,TRIADIS,seveso
48.9329300408,2.40508773298,COMPAGNIE DES GAZ DE PETROLE PRIMAGAZ SA,seveso
46.6713562009,5.42469675077,PERRENOT JT LOGISTIC SAS,seveso
47.659723533,-0.63846421814,SEDA,seveso
51.039859011,2.2930123985,ARCELORMITTAL ATLANTIQUE ET LORRAINE,seveso
47.9407238863,1.95403699215,DEPOTS DE PETROLE D'ORLEANS,seveso
48.6651451046,2.40525320946,ANTARGAZ,seveso
43.504552559,5.21607466422,Cie DE DISTRIBUTION DES HYDROCARBURES,seveso
45.8890555452,4.82528185202,COATEX (USINE 1 LUMIERE),seveso
47.3108993006,-2.06263356789,TOTAL RAFFINAGE France,seveso
43.7266887618,4.24987744188,AIR LIQUIDE FRANCE INDUSTRIE,seveso
48.2452088156,-3.76788691206,MAXAM France (SAS),seveso
49.5396895541,2.74506562215,FM France,seveso
49.2142069811,6.19299354073,AIR LIQUIDE,seveso
48.2049162975,1.88166943883,AXEREAL,seveso
48.3804954617,2.85284516002,EDF (Turbines à combustion),seveso
48.5999805184,7.80933393486,PRODAIR ET CIE Strasbourg,seveso
43.4546909675,4.84944511227,ELENGY (TONKIN),seveso
45.4971828944,6.56063705473,MSSA S.A.S.,seveso
47.5195554587,-1.31040911636,TITANOBEL Riaillé,seveso
43.9030340478,-0.464321966483,SPD (Sté Pétrolière de Dépôts),seveso
43.4657699529,4.91673132243,STOCKAGE TERMINAL DE LA CRAU,seveso
48.1055774526,-1.51376856237,LINDE GAS,seveso
49.3138972103,1.00925069605,SOCIETE MAPROCHIM NORMANDIE,seveso
48.6141885715,2.57371106348,Air Liquide France Industrie (ALFI),seveso
43.6060968318,4.77795589697,EPC FRANCE,seveso
48.7366241988,1.91510131765,RAFFINERIE DU MIDI,seveso
45.6579848657,5.12790290999,PARCOLOG LYON,seveso
44.3673074912,4.7080045523,ALFI (EX SOGIF),seveso
49.5285432233,2.70073081696,STORENGY,seveso
51.030681348,2.26004450207,VERSALIS FRANCE SAS Fortelet (POLIMERI),seveso
48.192665827,1.39037748639,CABBP - Bonneval,seveso
47.3256923597,5.38769029521,SITA FD (ISDD),seveso
45.0474390744,4.84812112995,FABRICATION CHIMIQUE ARDECHOISE,seveso
45.8346680896,5.26650240439,SIEGFRIED St Vulbas SAS,seveso
48.8452819038,1.87641354164,Storengy,seveso
49.1408857715,6.70924266536,ARKEMA,seveso
44.8333994964,-0.684543856315,PRODEC METAL,seveso
48.7423327915,7.92369047558,RHONE GAZ Herrlisheim,seveso
45.7475857408,3.15971585009,CALDIC CENTRE,seveso
49.5022351261,2.93099943706,SI Group-Ribécourt S.A.S.,seveso
47.6784836152,-2.40711330521,PRIMAGAZ,seveso
48.9406788025,2.44768687105,AIR LIQUIDE,seveso
48.7555807144,7.94783799469,DOW AGROSCIENCES SAS Drusenheim,seveso
48.5183348326,2.6680575784,ENTREPOTS PETROLIERS de la HAUTE SEINE,seveso
43.433449398,4.91492631416,DEPOT PETROLIER DE FOS,seveso
49.1434736582,6.70879704841,TPF,seveso
49.8491253521,2.66045255385,SPCH,seveso
47.1095154593,-1.20137212279,EPC FRANCE,seveso
47.4137487193,1.01671347167,ARCH WATER PRODUCTS FRANCE,seveso
47.9639083237,-3.85534924067,Mc BRIDE,seveso
43.3959400524,5.20008357825,PROTEC METAUX ARENC,seveso
48.6232614644,-2.0581388886,HYDREP,seveso
45.6156289707,5.11499286648,TOTAL FRANCE,seveso
45.694425321,4.91756317992,DBP,seveso
48.9461501848,2.31107319286,ISOCHEM,seveso
47.9442707255,1.83086007515,PROUDREED,seveso
47.2744506749,6.09748733572,Compo France SAS (ex K+S france),seveso
50.2301223337,3.02022924737,LOGISTINORD,seveso
44.1707616061,4.14907200561,AXENS SA,seveso
